NAME,YEAR,THEME,Number of unique parts,Number of parts,UNIQUENESS
General Grievous Chase,2005,Star Wars Episode 3,3,51,0.058824
Chess King,1998,Castle,1,17,0.058824
Jewels-n-Bands,2003,Clikits,1,17,0.058824
Pizza Planet Truck Rescue,2010,Toy Story,6,102,0.058824
Waldurk Forest,2011,Game,3,51,0.058824
Hydrofoil,2000,Dino Island,1,17,0.058824
Hogwarts Castle [Fourth Edition],2010,Harry Potter,12,205,0.058537
Solar Explorer,2001,Life On Mars,5,86,0.058140
Ilrion,2012,Game,4,69,0.057971
Lake-town Chase,2013,The Desolation of Smaug,8,138,0.057971
Snowboard Super Pipe,2003,Gravity Games,4,69,0.057971
Spider-Helicopter Rescue,2014,Spider-Man,7,121,0.057851
Mack’s Team Truck,2011,Cars,6,104,0.057692
Sydney,2017,Skylines,3,52,0.057692
"Stormtrooper"" Commander",2017,Star Wars,3,52,0.057692
The Nether Fortress,2015,Minecraft,5,87,0.057471
Cruncher Block & Racer X,2008,Speed Racer,6,105,0.057143
Merida’s Highland Games,2014,Disney Princess,4,70,0.057143
Riptide Racer,1996,Boat,2,35,0.057143
Nitro Pulverizer,2002,Drome Racers,2,35,0.057143
Skull Basher,2015,Bionicle,2,35,0.057143
Skull Slicer,2015,Bionicle,2,35,0.057143
Turbo Champs,1998,Race,2,35,0.057143
LEGO® DIMENSIONS™ The Simpsons™ Level Pack,2015,Dimensions,2,35,0.057143
Jedi Defender-class Cruiser,2013,Star Wars Other,10,176,0.056818
Skull Island,2004,Pirates,3,53,0.056604
Fairy Island,2003,Fairy-Tale,3,53,0.056604
The Milano Spaceship Rescue,2014,Guardians of the Galaxy,11,195,0.056410
Baxter Robot Rampage,2013,Teenage Mutant Ninja Turtles,8,142,0.056338
Anna & Kristoff's Sleigh Adventure,2016,Disney Princess,5,89,0.056180
Batman: Man-Bat Attack,2014,Batman,5,89,0.056180
Power Puller,2000,Race,7,125,0.056000
Mobile Command Center,2004,Mission Deep Freeze,8,143,0.055944
Trolls' Mountain Fortress,2009,Fantasy Era,9,161,0.055901
Create 'n' Race - Master Builders,2000,Race,2,36,0.055556
Desert Island,1998,Recreation,3,54,0.055556
Mr. Freeze Ice Attack,2017,Batman,5,90,0.055556
Precision Shooting,2001,Soccer,1,18,0.055556
Jake and the Never Land Pirates Treasure Island,2015,Duplo,1,18,0.055556
Willis Tower,2011,Architecture,1,18,0.055556
Ruina's Lock & Roller,2017,Nexo Knights,6,108,0.055556
Nocturn,2007,Warriors,2,36,0.055556
Toxic Reapa,2012,Villains,1,18,0.055556
Cycle Fix-It Shop,1987,Traffic,2,36,0.055556
Excavator,1974,Construction,1,18,0.055556
Shark Scout,1995,Aquasharks,1,18,0.055556
Air Temple,2006,Avatar,7,126,0.055556
Republic Assault Ship & Coruscant,2013,Star Wars,2,36,0.055556
Spider-Man: Spider-Car Pursuit,2014,Juniors,2,36,0.055556
Aira's Creative Workshop,2015,Elves,3,54,0.055556
The Boss,2000,RoboRiders,2,36,0.055556
Ferrari 150° Italia,2012,Ferrari,1,18,0.055556
Andrea and Stephanie's Beach Holiday,2017,Juniors,5,90,0.055556
"Police Motorcycle, Black Logo",2005,Police,1,18,0.055556
Jedi Defense I,2002,Star Wars Episode 1,1,18,0.055556
Warehouse,1968,Building,1,18,0.055556
Black Widow,2017,Brickheadz,2,36,0.055556
Surge,2013,Heroes,2,36,0.055556
Sears Tower,2008,Architecture,1,18,0.055556
Ultimate Macy,2016,Nexo Knights,3,54,0.055556
LEGO® DIMENSIONS™ Gollum Fun Pack,2015,Dimensions,1,18,0.055556
X-wing Starfighter & Yavin 4,2012,Planet Series 2,2,36,0.055556
Tundra Tracker,2004,Mission Deep Freeze,4,72,0.055556
Empire State Building,2009,Architecture,1,18,0.055556
Martinair DC-9,1978,Airport,1,18,0.055556
Police Motorcycle - Blue Sticker Version,2008,Police,1,18,0.055556
Road Repair Set,1983,Traffic,1,18,0.055556
Expert Builder Power Pack,1982,Expert Builder,1,18,0.055556
Lewa - Master of Jungle,2015,Toa Okoto,2,36,0.055556
Steam Locomotive (Push),1970,4.5V,1,18,0.055556
Gungan Sub,2012,Star Wars Episode 1,7,127,0.055118
Watto's Junkyard,2001,Star Wars Episode 1,6,109,0.055046
Republic Frigate,2011,Star Wars Clone Wars,11,200,0.055000
Tower Takedown,2012,Dino,4,73,0.054795
Freeco Speeder,2010,Star Wars Clone Wars,4,73,0.054795
Wake Rider (Wave Catcher),2002,Island Xtreme Stunts,3,55,0.054545
City of Atlantis,2011,Atlantis,9,165,0.054545
K-2SO,2016,Star Wars Rogue One,3,55,0.054545
Spider-Man's Street Chase,2004,Spider-Man,3,55,0.054545
The Phantom,2017,Star Wars Rebels,6,110,0.054545
Hairdressing Salon,1978,Homemaker,3,55,0.054545
Highway Construction,2000,Construction,6,110,0.054545
Desert Skiff,2012,Star Wars Episode 4/5/6,5,92,0.054348
Spider-Man's Train Rescue,2004,Spider-Man,5,92,0.054348
Stormer,2013,Heroes,2,37,0.054054
"Rathtar"" Escape",2017,Star Wars Episode 7,8,148,0.054054
Beach Cruiser,2002,Island Xtreme Stunts,2,37,0.054054
Spider-Man: Web Warriors Ultimate Bridge Battle,2016,Spider-Man,12,222,0.054054
Y-wing,2017,Star Wars,2,37,0.054054
Rogon's Rock Flinger,2014,Legends of Chima,6,111,0.054054
Naboo Starfighter & Naboo,2012,Star Wars Episode 1,2,37,0.054054
Battle on Saleucami,2014,Star Wars,4,74,0.054054
Luke Skywalker™,2015,Star Wars,2,37,0.054054
Andrea’s Stage,2012,Friends,2,37,0.054054
CHI Vardy,2014,Constraction,2,37,0.054054
Gorilla Grodd Goes Bananas,2015,Justice League,8,148,0.054054
Team Challenge Upgrade Kit,2002,Service Packs,2,37,0.054054
Palace Pets Royal Castle,2016,Disney Princess,4,74,0.054054
The Hulk Buster Smash,2015,Avengers,5,93,0.053763
Ocean Interceptor,2012,Dino,5,93,0.053763
The Batmobile,2017,Batman,8,149,0.053691
Rock Roader,2016,Ninjago,8,149,0.053691
Saturn V Moon Mission,2003,Discovery,3,56,0.053571
Imperial Assault Hovertank,2016,Star Wars Rogue One,6,112,0.053571
458 Italia GT2,2015,Speed Champions,3,56,0.053571
ARC-170 Starfighter,2005,Star Wars Episode 3,7,131,0.053435
The Disney Castle,2016,Disney,19,356,0.053371
The Ice Spikes,2017,Minecraft,4,75,0.053333
Venice Canal Chase,2009,Last Crusade,5,94,0.053191
Turtle Lair Invasion,2014,Teenage Mutant Ninja Turtles,10,189,0.052910
Fire Station,2012,Duplo,2,38,0.052632
Formula Z Car in Storage Case,1998,Znap,1,19,0.052632
Taxi Station,1976,Building,2,38,0.052632
Kalmah,2007,Barraki,1,19,0.052632
Steam Shovel with Carrier,1973,Construction,2,38,0.052632
Exclusive Weapon Training Set - Limited Edition,2011,Ninjago,1,19,0.052632
Fire Response SUV,2001,Fire,1,19,0.052632
Shell Tanker,1987,Station,1,19,0.052632
Rey's Speeder™,2015,Star Wars,4,76,0.052632
Frog Rush,2011,Game,1,19,0.052632
Silja Line Ferry,1986,Ferries,2,38,0.052632
Rapunzel’s Creativity Tower,2014,Disney Princess,5,95,0.052632
"The Joker"" Notorious Lowrider",2017,Batman,6,114,0.052632
Rescue Helicopter,1981,Hospital,1,19,0.052632
Soccer Target Practice,2006,Soccer,1,19,0.052632
Burj Khalifa,2011,Architecture,1,19,0.052632
Mutran & Vican,2008,Warriors,2,38,0.052632
Epic Dragon Battle,2012,Ninjago,12,228,0.052632
Petrol Station,1982,Fabuland,1,19,0.052632
Airport,2015,Duplo,1,19,0.052632
Beach Buggy,1999,Coast Guard,1,19,0.052632
Sofia the First™ Royal Stable,2015,Duplo,1,19,0.052632
Viking Line Ferry,1982,Ferries,2,38,0.052632
LEGO® DIMENSIONS™ Back to the Future™ Level Pack,2015,Dimensions,2,38,0.052632
Uruk-hai Army,2012,The Two Towers,5,95,0.052632
Battle Droid Carrier,2001,Star Wars Episode 1,2,38,0.052632
Shoot 'n' Score - with ZIDANE / Adidas Minifig,2000,Soccer,1,19,0.052632
Mystery Mansion,2015,Scooby-Doo,11,210,0.052381
Scary Laboratory,2002,Studios,8,153,0.052288
Batman: The Riddler Chase,2014,Batman,6,115,0.052174
Hovercraft Hideout,2003,Harbor,6,115,0.052174
Lord Business’ Hideout,2014,The LEGO Movie,11,211,0.052133
Anakin's Jedi Interceptor,2012,Star Wars Episode 3,5,96,0.052083
Braptor's Wing Striker,2014,Legends of Chima,4,77,0.051948
Emperor's Ship,2003,Orient Expedition,4,77,0.051948
Meteor Strike,2010,Game,3,58,0.051724
Harry and the Marauder's Map,2004,Prisoner of Azkaban,3,58,0.051724
Ice Cream Machine,2014,The LEGO Movie,6,116,0.051724
Pop Star Show Stage,2015,Friends,5,97,0.051546
Obi-Wan Kenobi™,2015,Star Wars,2,39,0.051282
Iron Man vs Loki,2016,Juniors,2,39,0.051282
Alien Fossilizer,1996,Exploriens,2,39,0.051282
FLYER Beast vs. BREEZ,2014,Hero Factory,2,39,0.051282
Nitro Predator,2012,Racers,2,39,0.051282
Skateboard Vert Park Challenge,2003,Gravity Games,2,39,0.051282
House Accessories - 182 elements,1985,Universal Building Set,2,39,0.051282
Vision Command [RCX Digital Colour Camera],2000,RCX,2,39,0.051282
Pumpkin’s Royal Carriage,2016,Disney Princess,2,39,0.051282
Spinjitzu Dojo,2011,Ninjago,6,118,0.050847
Citadel of Orlan,2004,Knights Kingdom II,7,138,0.050725
Oil Rig Escape,2012,Cars,7,138,0.050725
Police – The Big Escape,2014,Juniors,4,79,0.050633
Umbaran MHC (Mobile Heavy Cannon),2013,Star Wars Clone Wars,5,99,0.050505
Doc David's Hospital,1979,Hospital,1,20,0.050000
Turtle Lair,2014,Juniors,3,60,0.050000
Recycle Truck,1997,Traffic,1,20,0.050000
Beach Buster / Police Car,1999,Technic,2,40,0.050000
Snowspeeder & Planet Hoth,2013,Star Wars Episode 4/5/6,2,40,0.050000
LEGO® DIMENSIONS™ Wonder Woman Fun Pack,2015,Dimensions,1,20,0.050000
Special Value 96 pieces (Canadian Set),1985,Basic,1,20,0.050000
Republic Swamp Speeder - Limited Edition,2010,Star Wars Clone Wars,4,80,0.050000
Metro Park & Service Tower,1988,Station,6,120,0.050000
School Room,1989,Fabuland,1,20,0.050000
King Mathias (Series 2),2005,Knights Kingdom II,1,20,0.050000
Holiday Scene Magnet,2011,Gear,1,20,0.050000
Batman & Super Angry Kitty Attack,2015,The LEGO Movie,3,60,0.050000
XT4,2012,Villains,1,20,0.050000
Johnny Thunder's Plane,2000,Dino Island,1,20,0.050000
Brainiac Attack,2015,Justice League,4,80,0.050000
Captain Armando Salazar,2017,Brickheadz,2,40,0.050000
Medic's Car,1978,Hospital,1,20,0.050000
Corroder,2010,Villains,1,20,0.050000
Power Cruiser,2005,Tiny Turbos,1,20,0.050000
Poodle's Little Palace,2013,Animals,1,20,0.050000
The Ostrich Race,2010,Prince of Persia,3,60,0.050000
Alien Conquest Battle Pack,2011,Alien Conquest,1,20,0.050000
Sunshine Home,2008,Playhouse,7,140,0.050000
Crystal King,2009,Power Miners,3,60,0.050000
House with Garage,1964,Building,1,20,0.050000
Batcave Break-in,2017,Batman,13,261,0.049808
Fire Station,2000,Fire,5,101,0.049505
Family House,2015,Juniors,5,101,0.049505
The Battle of Helm’s Deep,2012,The Two Towers,9,182,0.049451
A-wing Starfighter,2013,Star Wars Episode 4/5/6,4,81,0.049383
Grand Championship Cup,2002,Soccer,4,81,0.049383
Magic Rescue from the Goblin Village,2017,Elves,10,203,0.049261
Beware the Vulture,2017,Marvel,6,122,0.049180
Hailfire Droid,2015,Star Wars Episode 2,3,61,0.049180
Super Car,1994,Traffic,6,122,0.049180
Royal Summer Palace,2007,Fairy-Tale,3,61,0.049180
Beast Master's Chaos Chariot,2016,Nexo Knights,6,122,0.049180
A-Wing Starfighter,2017,Star Wars,6,122,0.049180
Bugatti Chiron,2017,Speed Champions,3,61,0.049180
TECHNIC Control I,1986,Technic,3,61,0.049180
Spider-Man's Doc Ock Ambush,2012,Spider-Man,5,102,0.049020
Republic Fighter Tank,2017,Star Wars Episode 3,5,102,0.049020
Skyra’s Mysterious Sky Castle,2015,Elves,9,184,0.048913
Ultimate Lavaria,2016,Nexo Knights,2,41,0.048780
CHI Fluminox,2014,Constraction,2,41,0.048780
Dol Guldur Ambush,2013,The Desolation of Smaug,4,82,0.048780
The Bat vs. Bane: Tumbler Chase,2013,Batman,6,123,0.048780
Princess Rosaline's Room,1999,Fairy-Tale,2,41,0.048780
Snowboard Big Air Comp,2003,Gravity Games,2,41,0.048780
Attack on Lake-town,2014,The Battle of the Five Armies,6,123,0.048780
Tantive IV & Planet Alderaan,2013,Star Wars Episode 4/5/6,2,41,0.048780
The Wither,2016,Minecraft,4,82,0.048780
Y-Wing Starfighter,2017,Star Wars Rogue One,9,185,0.048649
Trade Federation AAT,2000,Star Wars Episode 1,3,62,0.048387
Speed Racer & Snake Oiler,2008,Speed Racer,3,62,0.048387
The Battle of the Five Armies,2014,The Battle of the Five Armies,7,145,0.048276
Doc Ock's Bank Robbery,2004,Spider-Man,4,83,0.048193
Piggy Pirate Ship,2016,Angry Birds,9,187,0.048128
Jungle Mobile Lab,2017,Jungle,7,146,0.047945
Onua - Master of Earth,2015,Toa Okoto,2,42,0.047619
Freeing Dobby,2010,Harry Potter,2,42,0.047619
Fire Copter 1,1982,Fire,2,42,0.047619
Sunblock,2011,Game,1,21,0.047619
Michael Knight and K.I.T.T. Knight Ryder Fun Pack,2017,Dimensions,1,21,0.047619
Lewa Nuva,2002,Toa Nuva,1,21,0.047619
Build a Bullseye Target Gift Card Promotional,2010,Christmas,1,21,0.047619
Classic Minifigure Graduation Set,2014,Gear,1,21,0.047619
Panrahk - With mini CD-ROM,2003,Rahkshi,1,21,0.047619
Lerahk - With mini CD-ROM,2003,Rahkshi,1,21,0.047619
Ice Ramp Racers,2001,Xalax,2,42,0.047619
Universal Building Set,1978,Basic Set,1,21,0.047619
Station,1968,Building,1,21,0.047619
Knight Bus - Mini,2004,Harry Potter,1,21,0.047619
Scuderia Ferrari Truck,2012,Ferrari,1,21,0.047619
Diesel Locomotive,1970,12V,1,21,0.047619
TIE Advanced Prototype,2015,Star Wars Rebels,5,105,0.047619
Gryffindor,2001,Sorcerer's Stone,2,42,0.047619
Santa with Sleigh and Reindeer,1977,Christmas,1,21,0.047619
Grand Soccer Stadium,2006,Soccer,3,63,0.047619
Guurahk - With mini CD-ROM,2003,Rahkshi,1,21,0.047619
Amusement Park,1985,Fabuland,2,42,0.047619
Blacksmith Attack,2011,Kingdoms,3,63,0.047619
"Town Plan - UK, Cardboard box",1962,Town Plan,3,63,0.047619
John Hancock Center,2008,Architecture,1,21,0.047619
Cargo Center,1998,Cargo,5,105,0.047619
LEGO Champion,2011,Game,1,21,0.047619
Darkseid Invasion,2015,Justice League,8,168,0.047619
FLL Trophy Medium,2013,FIRST LEGO League,1,21,0.047619
FLL Trophy Small,2013,FIRST LEGO League,1,21,0.047619
Turahk - With mini CD-ROM,2003,Rahkshi,1,21,0.047619
Town Street Theme,1991,Town,6,127,0.047244
Back to the Future Delorean,2013,LEGO Ideas and CUUSOO,4,85,0.047059
Rocket Ride,2008,SpongeBob SquarePants,4,85,0.047059
Catwoman Catcycle Chase,2017,Batman,4,85,0.047059
AT-RT,2013,Star Wars Clone Wars,4,85,0.047059
Cloud Cuckoo Palace,2014,The LEGO Movie,4,85,0.047059
Blizzard Blaster,2004,Mission Deep Freeze,4,85,0.047059
Moana's Island Adventure,2016,Disney Princess,4,85,0.047059
Mercedes-AMG GT3,2017,Speed Champions,3,64,0.046875
Arendelle Castle Celebration,2016,Disney Princess,6,128,0.046875
McLaren P1,2015,Speed Champions,3,64,0.046875
"Benny’s Spaceship, Spaceship, SPACESHIP!",2014,The LEGO Movie,11,235,0.046809
Tracker I,2017,Star Wars,5,107,0.046729
Cities and Transportation,2000,Technic,5,107,0.046729
Batmobile and the Two-Face Chase,2012,Batman,7,150,0.046667
Ultimate General Magmar,2016,Nexo Knights,2,43,0.046512
Escape from Mirkwood Spiders,2012,An Unexpected Journey,4,86,0.046512
Gali - Master of Water,2015,Toa Okoto,2,43,0.046512
OverBorg Attack,2013,Ninjago,4,86,0.046512
Family House,2009,Duplo,2,43,0.046512
Ultimate Build Lightning McQueen,2011,Cars,4,86,0.046512
Ultimate Axl,2016,Nexo Knights,2,43,0.046512
Tremor Track Infiltration,2014,Ultra Agents,4,86,0.046512
Mia's Magic Tricks,2013,Friends,2,43,0.046512
Aira's Airship & the Amulet Chase,2017,Elves,7,151,0.046358
Lance's Twin Jouster,2017,Nexo Knights,5,108,0.046296
Nebula Outpost,1996,Exploriens,3,65,0.046154
Formula 1 Pit Stop,1998,Race,3,65,0.046154
Iron Man: Malibu Mansion Attack,2013,Iron Man,7,152,0.046053
Pretty Wishes Playhouse,1994,Playhouse,4,87,0.045977
2016 Ford GT & 1966 Ford GT40,2017,Speed Champions,5,109,0.045872
Dol Guldur Battle,2013,The Desolation of Smaug,7,153,0.045752
Mos Espa Podrace,1999,Star Wars Episode 1,7,153,0.045752
Red Beast RC,2004,Radio Control,1,22,0.045455
Kopaka - Master of Ice,2015,Toa Okoto,2,44,0.045455
Cavalry Builder Set,2013,The Lone Ranger,2,44,0.045455
Red Indians,1977,Building Set with People,1,22,0.045455
Mickey's Car Garage,2000,Disney's Mickey Mouse,2,44,0.045455
Rapid Response Tanker,2002,Gas Station,1,22,0.045455
Wolf Legend Beast,2014,Legend Beasts,2,44,0.045455
Aquagon,2013,Villains,1,22,0.045455
All-in-One-Box-of-Fun,2014,Duplo,1,22,0.045455
Darth Vader™,2002,Star Wars,3,66,0.045455
Wookiee Catamaran,2005,Star Wars Episode 3,5,110,0.045455
Twin-Pod Cloud Car,2002,Star Wars Episode 4/5/6,2,44,0.045455
Sprint Racer,1988,Race,1,22,0.045455
Toa Mahri Kongu,2007,Toa Mahri,1,22,0.045455
Breez,2013,Heroes,1,22,0.045455
Bungalow,1969,Building,1,22,0.045455
Divers Jet Ski,1998,Divers,1,22,0.045455
Andrea's Musical Duet,2017,Friends,2,44,0.045455
Jetbug,2011,Villains,1,22,0.045455
Airplane Ride,1977,Building Set with People,1,22,0.045455
The Simpsons House,2014,Town,11,243,0.045267
Big Rig Snow Getaway,2014,Teenage Mutant Ninja Turtles,8,177,0.045198
Porsche 911 GT3 RS,2016,Technic,8,177,0.045198
Cargo Train,2003,World City,6,133,0.045113
T6 Jedi Shuttle,2011,Star Wars Clone Wars,5,111,0.045045
Roadside Repair,1999,Traffic,4,89,0.044944
TIE Fighter,2012,Star Wars Episode 4/5/6,4,89,0.044944
Club Car,1993,9V,3,67,0.044776
Duel on Geonosis,2013,Star Wars Episode 2,6,134,0.044776
Krusty Krab Adventures,2009,SpongeBob SquarePants,3,67,0.044776
Fire Nation Ship,2006,Avatar,6,134,0.044776
Vulture Droid,2014,Star Wars,3,67,0.044776
Batman: Rescue from Ra's al Ghul,2016,Batman,5,112,0.044643
Captain Rex’s AT-TE,2016,Star Wars Rebels,11,247,0.044534
First Order Stormtrooper,2016,Star Wars Episode 7,2,45,0.044444
Belle,2017,Brickheadz,2,45,0.044444
Skeleton Tower,2007,Fantasy Era,6,135,0.044444
Flash Speeder,2000,Star Wars Episode 1,2,45,0.044444
Rally Car,2016,Traffic,2,45,0.044444
The Captain’s Cabin,2011,Pirates of the Caribbean,2,45,0.044444
Stephanie's Horse Carriage,2016,Animals,2,45,0.044444
Sky Guardian,2007,Exo-Force,3,68,0.044118
Audi R8 LMS ultra,2016,Speed Champions,3,68,0.044118
"Jedi Starfighter"" With Hyperdrive",2017,Star Wars Episode 2,7,159,0.044025
All Terrain Trapper,2000,Dino Island,4,91,0.043956
Hoth Echo Base,2011,Star Wars Episode 4/5/6,8,182,0.043956
Homing Spider Droid,2013,Star Wars Episode 2,4,91,0.043956
Arctic Batman vs. Mr. Freeze: Aquaman on Ice,2013,Batman,4,91,0.043956
Darth Maul's Sith Infiltrator,2011,Star Wars Episode 1,6,137,0.043796
Imperial Shuttle Tydirium,2015,Star Wars,8,183,0.043716
Knowhere Escape Mission,2014,Guardians of the Galaxy,6,138,0.043478
Passenger Carriage / Sleeper,1983,4.5V,2,46,0.043478
Target Practice,2002,Soccer,1,23,0.043478
Farm,2007,Duplo,2,46,0.043478
Garage,1979,Traffic,1,23,0.043478
Jungle Accessory Set,2014,Friends,1,23,0.043478
Turkey,2003,Thanksgiving,1,23,0.043478
Storm Beast,2016,Bionicle,2,46,0.043478
Gali Nuva,2002,Toa Nuva,1,23,0.043478
Jack Stone Red Flash Station,2002,Fire,1,23,0.043478
Turtle's Little Paradise,2014,Animals,1,23,0.043478
Police Station,1984,Police,1,23,0.043478
Little Foal,2015,Friends,1,23,0.043478
Starfire I,1986,Classic Space,1,23,0.043478
Basic Set with Board Game,1987,Basic,2,46,0.043478
Toa Onewa,2004,Toa Metru,1,23,0.043478
Seattle Space Needle,2009,Architecture,1,23,0.043478
Gresh,2009,Glatorian,1,23,0.043478
Nitro Muscle,2010,Tiny Turbos,1,23,0.043478
Police Boat,1976,Boat,1,23,0.043478
Venice,2016,Skylines,2,46,0.043478
Mud Runner,1991,Race,1,23,0.043478
Scarox,2013,Villains,1,23,0.043478
All-in-One-Pink-Box-of-Fun,2014,Duplo,1,23,0.043478
Baze Malbus,2017,Star Wars,3,69,0.043478
Push Train,2016,Duplo,1,23,0.043478
Surf Shack,1993,Recreation,2,46,0.043478
Globert,2015,Series 4,1,23,0.043478
Droid Escape,2001,Star Wars Episode 4/5/6,1,23,0.043478
Shredder's Dragon Bike,2013,Teenage Mutant Ninja Turtles,4,92,0.043478
Rey,2016,Star Wars Episode 7,2,46,0.043478
King's Castle Siege,2007,Fantasy Era,7,162,0.043210
Toxikita's Toxic Meltdown,2014,Ultra Agents,7,162,0.043210
"Bane"" Toxic Truck Attack",2017,Batman,6,139,0.043165
"Wonder Woman"" Warrior Battle",2017,Super Heroes,5,116,0.043103
Crisis News Crew,1997,Outback,3,70,0.042857
Ghostbusters Story Pack,2016,Dimensions,3,70,0.042857
Republic AV-7 Anti-Vehicle Cannon,2014,Star Wars,5,117,0.042735
Ariel's Dolphin Carriage,2016,Juniors,2,47,0.042553
Stunt Bike,2017,Technic,2,47,0.042553
Skull Warrior,2015,Bionicle,2,47,0.042553
Anakin's and Sebulba's Podracers,2011,Star Wars Episode 1,6,141,0.042553
General Grievous™,2015,Star Wars,2,47,0.042553
Daisy’s Beauty Salon,2016,Disney Princess,2,47,0.042553
Spider-Man Action Studio,2002,Spider-Man,4,94,0.042553
The Brick Bounty,2015,Pirates III,9,212,0.042453
Soldiers Fort,2015,Pirates III,5,118,0.042373
Azari and the Magical Bakery,2015,Elves,5,118,0.042373
Spy Jet Escape,2011,Cars,5,118,0.042373
Naboo Starfighter - UCS,2002,Star Wars Episode 1,3,71,0.042254
Emma's Ice Cream Truck,2016,Friends,3,71,0.042254
Off Road Race Track,2002,Track System,4,95,0.042105
Pencil Holder,2012,Gear,1,24,0.041667
Fire Motorcycle,2013,Fire,1,24,0.041667
Big Pirate Ship,2006,Duplo,1,24,0.041667
Pirates Building Set,2009,Basic Set,2,48,0.041667
LEGO® DIMENSIONS® Krusty Fun Pack,2015,Dimensions,1,24,0.041667
Steam Locomotive,1969,12V,1,24,0.041667
Water Scooter Fun,2013,Friends,1,24,0.041667
Scuderia Ferrari SF16-H,2017,Speed Champions,3,72,0.041667
Pohatu Nuva,2002,Toa Nuva,1,24,0.041667
Border Ambush,2004,Knights Kingdom II,3,72,0.041667
FXX,2012,Ferrari,1,24,0.041667
Onua Nuva,2002,Toa Nuva,1,24,0.041667
Spider-Man's First Chase,2003,Spider-Man,3,72,0.041667
Chirox,2008,Phantoka,1,24,0.041667
Ekimu the Mask Maker,2016,Bionicle,2,48,0.041667
Auto Service Truck,1979,Traffic,1,24,0.041667
Takadox,2007,Barraki,1,24,0.041667
Elsa's Magical Ice Palace,2017,Disney Princess,7,169,0.041420
Troll Warship,2008,Fantasy Era,6,145,0.041379
Sith Fury-class Interceptor,2012,Star Wars Other,6,145,0.041379
Android Base,1996,Exploriens,5,121,0.041322
ARC-170 Starfighter,2010,Star Wars Clone Wars,5,121,0.041322
Earth Defense HQ,2011,Alien Conquest,9,218,0.041284
Porsche 919 Hybrid and 917K Pit Lane,2016,Speed Champions,8,194,0.041237
Spider-Man: Ghost Rider Team-up,2016,Spider-Man,4,97,0.041237
T-16 Skyhopper,2015,Star Wars Episode 4/5/6,4,97,0.041237
Millennium Falcon™,2015,Star Wars,9,219,0.041096
TIE Striker,2016,Star Wars Rogue One,6,146,0.041096
Plo Koon’s Jedi Starfighter,2010,Star Wars Episode 3,3,73,0.041096
Geonosian Starfighter,2011,Star Wars Clone Wars,3,73,0.041096
The Zombies,2012,Monster Fighters,6,146,0.041096
Western Train Chase,2010,Toy Story,6,146,0.041096
Eiffel Tower,2014,Architecture,2,49,0.040816
Attack on Avengers Tower,2015,Avengers,6,147,0.040816
Radical Racer,1998,Extreme Team,2,49,0.040816
Fire Helicopter,1999,Technic,2,49,0.040816
Scorm's Scorpion Stinger,2014,Legends of Chima,6,147,0.040816
Shrieking Shack,2004,Prisoner of Azkaban,5,123,0.040650
The Scuttler,2017,Batman,8,197,0.040609
Sith Infiltrator,1999,Star Wars Episode 1,3,74,0.040541
Dolphin Point,1995,Paradisa,4,99,0.040404
Rebel Combat Frigate,2016,Star Wars Rebels,7,174,0.040230
Catwoman Catcycle City Chase,2012,Batman,2,50,0.040000
Stock Car,1986,Race,1,25,0.040000
Ogrum,2013,Villains,1,25,0.040000
Tractor,1972,Factory,1,25,0.040000
Ehlek,2007,Barraki,1,25,0.040000
Rescue Motorbike / Rescue Trike,1999,Riding Cycle,2,50,0.040000
Toa Kopaka,2008,Phantoka,1,25,0.040000
Resort Designer,2014,Fusion,1,25,0.040000
Cinderella’s Dream Carriage,2014,Disney Princess,3,75,0.040000
Fire Truck and Trailer,1978,Fire,1,25,0.040000
Jawblade,2012,Villains,1,25,0.040000
Drawbridge Defense,2009,Fantasy Era,5,125,0.040000
Captain America vs. Hydra,2014,Avengers,3,75,0.040000
Black Bus,2000,Soccer,2,50,0.040000
Resistance Trooper Battle Pack,2016,Star Wars Episode 7,2,50,0.040000
Fire vs. Ice,2014,Speedorz,2,50,0.040000
Surveillance Chopper,1999,Space Port,1,25,0.040000
United Nations Headquarters,2013,Architecture,2,50,0.040000
Big Ben,2012,Architecture,1,25,0.040000
Polar Accessory Set,2014,Arctic,1,25,0.040000
Pre Vizsla's Mandalorian Fighter,2012,Star Wars Clone Wars,5,125,0.040000
Rescue Reinforcements,2014,The LEGO Movie,9,225,0.040000
Blade Titan,2007,Exo-Force,3,75,0.040000
LEGO® DIMENSIONS® NINJAGO™ Team Pack,2015,Dimensions,2,50,0.040000
Aquaman and Aqua Watercraft,2016,Dimensions,1,25,0.040000
Mata Nui,2009,Glatorian Legends,1,25,0.040000
The Chum Bucket,2007,SpongeBob SquarePants,4,100,0.040000
Bunny and Chick,2012,Easter,1,25,0.040000
LEGO® DIMENSIONS™ Jay Fun Pack,2015,Dimensions,1,25,0.040000
Raid VPR,2010,Space Police III,2,50,0.040000
Kopaka Nuva,2002,Toa Nuva,1,25,0.040000
Gobbol,2016,Series 9,1,25,0.040000
Bitil,2008,Mistika,1,25,0.040000
Pirates Adventure,2015,Pirates III,1,25,0.040000
UFO Attack,2010,Game,1,25,0.040000
Vader’s TIE Advanced vs. A-Wing Starfighter,2016,Star Wars Rebels,7,176,0.039773
Stealth Shell in Pursuit,2013,Teenage Mutant Ninja Turtles,3,76,0.039474
